Date,No 4-year Degree,Has 4-year Degree
SEP 2021,40.16469637741523,31.33546677196245
APR 2022,37.90127470108017,31.0934530349146
SEP 2022,36.5062746602081,25.57582136404745
JAN 2023,36.28368437486087,27.78949959483485
APR 2023,39.70518180781108,29.90165541604235
MAY 2023,41.48129608353489,30.56738996943884
JUN 2024,35.5646512253487,31.78739431725134
SEP 2024,38.62240955053559,30.5455442343432
NOV 2024,48.24258091974484,35.28948713730649
MAY 2025,41.08534332717216,33.18581583453471
SEP 2025,36.51743216940155,29.68649835045949
JAN 2026,40.04465506476221,27.59823562771227
