Date,No 4-year Degree,Has 4-year Degree
SEP 2021,20.74559895109605,13.21340980600568
APR 2022,20.34016844348944,13.01272009018932
SEP 2022,24.38650646411242,13.48745442358238
JAN 2023,24.94248121088669,17.44711268262397
APR 2023,24.15089938919441,16.67191108674939
MAY 2023,26.96390909170578,19.32054550896142
SEP 2023,22.37123238800544,15.44350587289226
JUN 2024,23.94672277477745,13.65592498211031
SEP 2024,19.85766086203498,15.40399418585167
NOV 2024,22.21014497452721,17.87310134795084
MAY 2025,23.68448943437116,24.29964266959735
SEP 2025,23.55991138848682,20.50677091884639
JAN 2026,22.87953001670465,16.29592657478465
