Date,Non-Metropolitan Area,Metropolitan Area
JUN 2021,38.47409544053956,23.21426426246451
SEP 2021,34.16740451679621,22.56215197051714
APR 2022,26.83427057689951,20.23543021495397
SEP 2022,26.86168514402338,19.9253486931982
JAN 2023,33.51356428435496,18.28029508740249
APR 2023,29.00528698911084,18.54609802364228
MAY 2023,33.37466895955183,20.94202026109303
JUN 2023,28.81351728716972,19.02573456936287
SEP 2023,31.32123681802083,19.46903646629079
JAN 2024,32.04597164058212,20.70996691202117
JUN 2024,29.09500414687388,17.99921165635428
SEP 2024,27.85828918395084,17.45749694273986
NOV 2024,29.872904829745,18.71291181050651
MAY 2025,25.28273122039835,19.54146742771019
