Date,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Missing
JUN 2021,16.05286850921894,9.54942605712518,18.28294580489022,6.835012272868321,48.62143699449285,.6583103614045031
SEP 2021,14.31256932828363,10.44943808861946,16.02315472960905,6.73422851817249,51.57974652558042,.9008628097348653
APR 2022,12.31536277592303,8.974392210616513,17.49172435452737,6.084110314365972,54.14716949583637,.987240848730766
SEP 2022,11.57121509323761,9.338259845470482,19.6909347261222,10.97239478935082,47.93456004610018,.4926354997185731
JAN 2023,10.9934264836542,9.537674025484332,19.5216780516312,11.38493918470654,48.28890844210449,.2733738124193896
APR 2023,10.51509743839237,9.427018907990977,19.19216061358765,11.96723933045417,48.71619326284937,.1822904467256506
MAY 2023,12.06799476770632,10.73058322600457,19.00589946796037,12.17425024184681,45.70387944637999,.3173928501017684
JUN 2023,10.43691142544488,9.947221144452916,19.01839538570946,12.48838407490989,47.11482482180683,.9942631476759498
SEP 2023,12.1686915917675,9.076444093686296,19.96220359631097,12.44582768479937,45.49920377188539,.8476292615505242
JAN 2024,12.35637691204575,10.02654646740136,25.37833480402102,10.87053479814591,40.80781963093815,.560387387447787
JUN 2024,8.637657117750193,10.75732728027664,24.71537019790622,11.49103866494717,43.44934441570203,.9492623234178059
SEP 2024,8.497692597346406,10.30754944072613,22.29831475345454,13.03993381415832,44.69253148542182,1.163977908892796
NOV 2024,9.913289142889393,10.4055473398751,18.39531177096372,8.874637981471814,51.45305941714928,.9581543476505625
MAY 2025,9.54338407393673,10.719054788969,22.42196360195487,12.40949901551059,43.50892021808266,1.397178301546208
