Date,No 4-year Degree,Has 4-year Degree
SEP 2021,27.69707873313376,21.85370961358466
APR 2022,25.12978002625308,18.84625326365654
SEP 2022,24.06625530949775,16.5703836873938
JAN 2023,23.50810455159757,16.557304824065
APR 2023,29.13080268730327,17.74124908286888
MAY 2023,25.81365986230929,19.21876601039634
SEP 2023,28.62400520433485,22.93552402560831
JAN 2024,32.41793296571789,23.74707695497915
JUN 2024,29.4151425917472,20.24549667379169
SEP 2024,28.38296886422876,21.3909169528496
NOV 2024,29.63102131236303,21.98719517619906
MAY 2025,26.33382690715177,18.95173392312445
SEP 2025,24.90882536566415,16.64066321708538
JAN 2026,27.24236566585461,19.90731137306155
