Date,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Missing
JAN 2023,12.26127981154275,36.83638017555977,28.42970437913479,16.58098180913852,5.394114582925155,.4975392416991635
APR 2023,15.48969797677116,38.82082658182271,25.3901806293812,16.58803407892843,3.517494856581359,.1937658765152785
MAY 2023,14.02394205699439,38.01628772745668,27.87655700454509,16.51069424948821,3.26600832339992,.3065106381155675
JUN 2023,15.32274739304672,37.02225569172558,26.00333554900851,15.04491993890628,5.796608939398761,.8101324879140636
SEP 2023,16.81392153798271,38.16694917781565,24.15294365414847,15.5997331330878,4.537229961472995,.7292225354924513
JAN 2024,20.11270553994317,33.73378784450877,26.37271352191381,14.93075542353902,4.523763630840602,.3262740392545689
JUN 2024,22.16160242365956,36.3629606160735,25.0338165750665,12.10150877461415,3.721916795552988,.6181948150333623
SEP 2024,15.25308879862877,32.72938814426388,26.7871520698904,18.42588958878568,5.655712975299294,1.148768423131961
NOV 2024,18.99272288978528,32.55607264250799,23.38517369716689,16.78095099367335,7.573965081762061,.7111146951043417
MAY 2025,13.95541987101859,30.90065485445793,30.9246895227797,16.21014621672141,6.603719160461072,1.405370374561341
SEP 2025,15.31221147736228,33.23229023099271,26.85405443133029,16.5534541927268,7.295273655403628,.7527160121842611
