Date,Non-Metropolitan Area,Metropolitan Area
SEP 2021,26.01831614276412,25.57059865493446
APR 2022,28.27292678893819,21.90086461474748
SEP 2022,21.64606436537561,21.40898480000778
JAN 2023,20.47584619612493,21.17979611120815
APR 2023,31.70070635699046,24.05143726067268
MAY 2023,31.51046977677542,22.15206976776792
SEP 2023,34.03647723715159,25.29560604119314
JAN 2024,38.56175295284649,27.76615858448777
JUN 2024,30.34802767762304,25.54003860685608
SEP 2024,33.39381098615652,24.75612041423491
NOV 2024,35.50724606729471,25.4517484129107
MAY 2025,25.75436848393582,23.33512026741879
SEP 2025,31.44067995794768,20.54516383866161
JAN 2026,33.20631094493978,23.1649718006826
