Date,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Missing
SEP 2022,3.181253694025953,5.066513590270424,18.95558029159078,28.34614015119883,43.34613582001946,1.10437645289448
JAN 2023,2.569525720601618,5.334987343979765,16.54335215408822,26.81760161026542,48.09347015201759,.6410630190475601
APR 2023,2.69936167405199,5.734231996667975,17.97654512191571,25.39417235212969,47.37794352583168,.8177453294031168
MAY 2023,2.986029601317057,6.098863928748272,19.60626219792123,24.57100998231671,46.00630882930488,.7315254603916276
JUN 2023,5.162674259322745,6.846571833677702,23.5388736023216,27.95305263821731,34.98956390498753,1.509263761473051
SEP 2023,3.900465346011401,6.476506808135185,17.68221868322731,27.3270256449797,43.81125292718531,.8025305904611729
JAN 2024,3.336510087807977,5.804704765218386,24.06163692438589,22.36522467725035,42.95414772913946,1.477775816197941
JUN 2024,3.469770138475837,7.165650655193295,24.64840286775744,24.73504469401027,38.76093244290934,1.220199201653877
NOV 2024,2.396042568703276,4.497675576971341,17.91622770519169,14.40035179527683,59.7900502166409,.9996521372158396
MAY 2025,5.805002563765943,9.055987001421775,24.79127677327853,24.55222744294113,34.75462058028027,1.040885638312382
SEP 2025,4.451252701995117,5.861124236511561,20.86579378650714,25.65649738938066,42.34093621014494,.8243956754606115
